报告日期,指数值,PMI分项
2010年05月份,58.1,非制造业-指数
2010年04月份,57.8,非制造业-指数
2010年03月份,57.3,非制造业-指数
2010年02月份,57.0,非制造业-指数
2010年01月份,58.1,非制造业-指数
2009年12月份,58.8,非制造业-指数
2009年11月份,58.4,非制造业-指数
2009年10月份,59.5,非制造业-指数
2009年09月份,57.9,非制造业-指数
2009年08月份,57.3,非制造业-指数
2009年07月份,57.3,非制造业-指数
2009年06月份,55.4,非制造业-指数
2009年05月份,54.9,非制造业-指数
2009年04月份,53.5,非制造业-指数
2009年03月份,54.4,非制造业-指数
2009年02月份,55.1,非制造业-指数
2009年01月份,53.7,非制造业-指数
2008年12月份,50.8,非制造业-指数
2008年11月份,51.2,非制造业-指数
2008年10月份,53.1,非制造业-指数
2008年09月份,55.0,非制造业-指数
2008年08月份,52.9,非制造业-指数
2008年07月份,55.7,非制造业-指数
2008年06月份,57.4,非制造业-指数
2008年05月份,57.4,非制造业-指数
2008年04月份,58.4,非制造业-指数
2008年03月份,58.9,非制造业-指数
2008年02月份,59.3,非制造业-指数
2008年01月份,60.2,非制造业-指数
2026年06月份,-0.59405941,非制造业-同比增长
2026年05月份,-0.39761431,非制造业-同比增长
2026年04月份,-1.98412698,非制造业-同比增长
2026年03月份,-1.37795276,非制造业-同比增长
2026年02月份,-1.78571429,非制造业-同比增长
2026年01月份,-1.5936255,非制造业-同比增长
2025年12月份,-3.83141762,非制造业-同比增长
2025年11月份,-1.0,非制造业-同比增长
2025年10月份,-0.19920319,非制造业-同比增长
2025年09月份,0.0,非制造业-同比增长
2025年08月份,0.0,非制造业-同比增长
2025年07月份,-0.19920319,非制造业-同比增长
2025年06月份,0.0,非制造业-同比增长
2025年05月份,-1.56555773,非制造业-同比增长
2025年04月份,-1.5625,非制造业-同比增长
2025年03月份,-4.1509434,非制造业-同比增长
2025年02月份,-1.94552529,非制造业-同比增长
2025年01月份,-0.98619329,非制造业-同比增长
2024年12月份,3.57142857,非制造业-同比增长
2024年11月份,-0.39840637,非制造业-同比增长
2024年10月份,-0.79051383,非制造业-同比增长
2024年09月份,-3.28820116,非制造业-同比增长
2024年08月份,-1.37254902,非制造业-同比增长
2024年07月份,-2.52427184,非制造业-同比增长
2024年06月份,-5.07518797,非制造业-同比增长
2024年05月份,-6.23853211,非制造业-同比增长
2024年04月份,-9.21985816,非制造业-同比增长
2024年03月份,-8.9347079,非制造业-同比增长
2024年02月份,-8.70337478,非制造业-同比增长
2024年01月份,-6.80147059,非制造业-同比增长
